COUNTRY,Country,WEEK,Week number,GENDER,Gender,AGE,Age,VARIABLE,Variable,YEAR,Year,Value,Flag Codes,Flags
SVK,Slovak Republic,22,22,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2020,2020,0,,
SVK,Slovak Republic,22,22,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2021,2021,3.6,,
SVK,Slovak Republic,22,22,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2022,2022,0.6,,
SVN,Slovenia,10,10,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,0,,
SVN,Slovenia,10,10,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,46,,
SVN,Slovenia,10,10,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,80,,
POL,Poland,37,37,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2020,2020,0.9,,
POL,Poland,37,37,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2021,2021,0.8,,
POL,Poland,37,37,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2022,2022,1.2,,
SVN,Slovenia,33,33,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,1,,
SVN,Slovenia,33,33,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,9,,
SVN,Slovenia,33,33,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,34,,
DNK,Denmark,47,47,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,53,,
DNK,Denmark,47,47,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,57,,
DNK,Denmark,47,47,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,25,,
POL,Poland,14,14,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2020,2020,0.9,,
POL,Poland,14,14,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2021,2021,25.4,,
POL,Poland,14,14,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2022,2022,3.4,,
BEL,Belgium,28,28,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,11,,
BEL,Belgium,28,28,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,7,,
BEL,Belgium,28,28,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,71,,
ITA,Italy,14,14,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,4790,,
ITA,Italy,14,14,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,2984,,
ITA,Italy,14,14,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,1061,,
MEX,Mexico,48,48,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,4060,,
MEX,Mexico,48,48,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,940,,
MEX,Mexico,48,48,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,51,,
FIN,Finland,30,30,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,2,,
FIN,Finland,30,30,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,4,,
FIN,Finland,30,30,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,89,,
IRL,Ireland,31,31,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,2,,
IRL,Ireland,31,31,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,12,,
IRL,Ireland,31,31,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,36,,
GRC,Greece,49,49,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2020,2020,21,,
GRC,Greece,49,49,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2021,2021,20,,
DNK,Denmark,11,11,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2020,2020,2,,
DNK,Denmark,11,11,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2021,2021,2.1,,
